demo_imgname	userinput	expandprompt	aspectratio			
text_10_0	A bear holds a board saying "T76Ljoi N4ei8".	Watercolor painting of a snowy landscape where a white polar bear stands prominently in the foreground. It holds a board with the text 'T76Ljoi N4ei8'. The background has muted colors of icy mountains and the aurora.	wide			
text_11_0	top-down view of a whole cake on the table with words "CVD0p Sstpn6tsp" written on the cake	Photo of a top-down angle of a vanilla cake with colorful sprinkles on a glass table. The cake features the words 'CvD0p Sstpn6tsp' written with green icing.	wide			
text_12_0	A dining table setting with a bottle of "Chateau Belinga Bergera rose"	Photo of an elegant dining table setting with white porcelain plates, silver cutlery, and crystal glasses. In the center, there's a bottle of 'Chateau Belinga Bergera rose' with its label clearly visible, surrounded by softly glowing candles.	wide			
text_13_0	Create a vector graphic design with letters in different shapes with exactly spelled text : "Follow your heart, not the crowd" cartoon style, t-shirt design, poster, illustration, typography	Typography vector design for a t-shirt, illustrating the words 'Follow your heart, not the crowd'. The letters are shaped in a fun cartoon style, bursting with creativity.	wide			
text_14_0	A movie poster with logo "Playing for Change Songs Around The World Part 2" on it	Rendered movie poster with a 3D stage setup. On the stage, diverse musicians from different parts of the world are performing together. Above the stage, spotlights converge to form the logo with the text 'Playing for Change Songs Around The World Part 2'. The background has a crowd cheering and waving flags from various nations.	wide			
text_15_0	whiteboard with texts "Hierarchical Text-Conditional Image Generation with CLIP Latents", typography, poster, illustration	Illustration of a lecture hall setting with a professor pointing to a whiteboard that has the text 'Hierarchical Text-Conditional Image Generation with CLIP Latents' written on it. The students are attentively listening.	wide			
text_16_0	a box for "Microsoft Surface Headphones"	Photo of a sealed packaging box for Microsoft Surface Headphones, with a clear image of the headphones displayed on the front and product details on the back.	wide			
text_17_0	a bag of "gala apple NET NT 32oz (2 LB) 907g"	Vector image of a sealed bag with the inscription 'gala apple NET NT 32oz (2 LB) 907g' and several gala apples visible inside.	wide			
text_18_0	create a diagram with 4 blocks, representing 4 steps with text shown in each box, processing, training, finetuning, and inference	A wide diagram with four rectangular blocks arranged horizontally. Each block is connected with an arrow pointing to the next. The first block is labeled 'Processing', the second 'Training', the third 'Finetuning', and the fourth 'Inference'. Each block has a distinct color, and the text is bold and clear.	wide			
text_19_0	A pie chart visually representing three segments. The first segment occupies 10% of the chart with a distinct color. The second segment also takes up 20% of the pie with a different shade. The third segment dominates the chart with a significant 70% slice. Each segment is labeled with its respective percentage, providing a clear visual breakdown. ar=16:9	16:9 digital illustration of a pie chart that visually divides into three segments. The first 10% is displayed in muted orange, the next 20% in pastel purple, and the dominating 70% is presented in a rich turquoise. Every segment comes with its percentage label for clarity.	wide			
text_20_0	Generate detailed description and generation one flowchart of an algorithm that, for a given integer as input, prints out "even" if the integer is an even number, and "odd" if otherwise. Wide	Flowchart on a wide layout showcasing the algorithm to determine if a given integer is even or odd. The flow starts with the 'Start' box, leading to a decision box labeled 'Is the number divisible by 2?'. If the answer is 'Yes', the flow proceeds to an action box labeled 'Print even' and then to the 'End' box. If the answer is 'No', it moves to another action box labeled 'Print odd', and then also proceeds to the 'End' box. The flowchart uses clear arrows and boxes to visually represent the algorithm's logic.	wide			
text_21_0	Generate detailed description and generation one simple wide bar chart on a white paper comparing the total fueling cost of three different vehicles. The vehicles listed are Ford F150 (Regular Cab), Toyota RAV4, and Honda Civic. The Ford F150 has the highest fueling cost at $130.96, represented by the tallest purple bar. The Toyota RAV4 follows with a cost of $82.56 and a shorter bar. Lastly, the Honda Civic has the lowest cost at $70.55, denoted by the shortest bar. All amounts are in purple against a white background. The title reads "Total fueling cost.“	Wide bar chart on a white paper background comparing the total fueling cost of three vehicles: Ford F150 (Regular Cab), Toyota RAV4, and Honda Civic. The Ford F150's cost is represented by the tallest purple bar at $130.96. The Toyota RAV4 is represented by a medium-sized bar at $82.56, and the Honda Civic by the shortest bar at $70.55. All bars are colored in purple, and the chart has a clear title at the top reading 'Total fueling cost'. The costs are labeled above each bar for clarity.	wide			
text_22_0	A simple table printed on a white paper detailing sales metrics for five countries: USA, China, Australia, India, and South Korea. The columns are labeled "Country," "Sales Volume," "Revenue," "Profit," and "Profit Margin." The USA leads in sales volume at 40.080 and revenue with $15.971.880. Profit margins range from 17,5% to 19,4%, with India having the lowest and Australia the highest. A row at the bottom aggregates the totals, showing a combined sales volume of 141.282 and total revenue of $67.754.238. The average profit margin is 18,8%.	A photo of a white paper on a wooden table detailing sales metrics. The table has columns labeled 'Country', 'Sales Volume', 'Revenue', 'Profit', and 'Profit Margin'. Rows list metrics for USA, China, Australia, India, and South Korea. USA has the highest sales volume at 40,080 and revenue of $15,971,880. Profit margins range from 17.5% for India to 19.4% for Australia. The bottom row aggregates the totals, showing a combined sales volume of 141,282 and total revenue of $67,754,238. The average profit margin is 18.8%.	wide			
text_23_0	Generate detailed description and generation one Illustration of a festive December 2024 calendar. The calendar has decorative winter elements around the borders, with each date in its own box. The month name 'December 2024' is written in stylish font at the top.  	Illustration of a festive December 2024 calendar. The calendar is surrounded by decorative winter elements such as snowflakes, pine cones, and holly leaves around the borders. Each day of the month is placed within its own distinct box. The name of the month, 'December 2024', is prominently displayed at the top in a stylish and elegant font. The colors used are a combination of wintry blues, whites, and hints of gold and red for a festive touch. The overall design evokes the warmth and joy of the holiday season.	wide			
text_24_0	A man poses with "Sentinels" number "49" football jersey	Photo of a middle-aged man with tan skin holding a football in one hand and pointing to his 'Sentinels' number '49' jersey with the other. He stands on a grassy field.	wide			
text_25_0	Bananas arranged on a picnic table to form the message "That's bananas!"	Photo of a wooden picnic table with ripe bananas arranged neatly to spell out the words 'That's bananas!'. The sun shines gently, casting soft shadows on the table surface.	wide			
text_26_0	studio shot of sculpture of text "unlock creativity" made from colorful thin wire led lights	Photo of a minimalist studio with white walls and a sculpture in the center. The sculpture is made of colorful thin wire LED lights, meticulously shaped to form the words 'unlock creativity'. The lights shimmer, creating a mesmerizing effect.	wide			
text_27_0	a letter with address "Microsoft Corporation One Microsoft Way Redmond, WA 98052-6399 USA (800) 426-9400"	A letter with the address clearly written: 'Microsoft Corporation One Microsoft Way Redmond, WA 98052-6399 USA (800) 426-9400' on a white envelope.	wide			https://docs.google.com/spreadsheets/d/1978ogNzkxW77uGvhQvcYfH8KUzZ-omd1pSrwD3IrNHc/edit?usp=sharing
text_28_0	a reciept with text "server: dinner s check #32 Table 5 Ordered 10/1/23 6:38 PM"	Photo of a receipt placed next to a plate with some leftover food. The receipt has the text: 'server: dinner s check #32 Table 5 Ordered 10/1/23 6:38 PM'. Ambient lighting illuminates the scene.	wide			
color_0_0	Artwork inspired by Monet's style, depicting a sunrise over a harbor. The sun casts a warm, golden hue over the calm waters, with silhouettes of ships and boats anchored in the distance. The sky is a blend of soft light pinks, greens, and yellows, with the sun's reflection shimmering on the water's surface. The brush strokes are loose and expressive, capturing the essence of Impressionism and evoking the mood and atmosphere of a tranquil morning. 	Oil painting influenced by Monet's impressionist style, presenting a sunrise over a harbor. The calm waters are bathed in a golden light from the sun, with distant silhouettes of anchored ships and boats. The sky transitions through soft hues of light pinks, greens, and yellows. The sun's shimmering reflection on the water enhances the depth of the scene. The artwork is characterized by its loose, expressive brush strokes, embodying the serenity of a peaceful morning.	wide			
color_1_0	Artwork inspired by Monet's style, depicting a sunrise over a harbor. The sun casts a warm, golden hue over the calm waters, with silhouettes of ships and boats anchored in the distance. The sky is a blend of soft bright blue, yellows, and reds, with the sun's reflection shimmering on the water's surface. The brush strokes are loose and expressive, capturing the essence of Impressionism and evoking the mood and atmosphere of a tranquil morning.  	Oil painting channeling Monet's impressionist style, portraying a sunrise over a harbor. The scene is bathed in a warm, golden light from the sun, with the calm waters reflecting this hue. Distant ships and boats are anchored, forming silhouettes. The sky artistically transitions through bright blue, yellows, and reds. The sun's shimmering reflection on the water adds depth to the scene. The artwork is marked by its loose, expressive brush strokes, conveying the serenity of a peaceful morning.	wide			
color_2_0	Artwork inspired by Monet's style, depicting a sunrise over a harbor. The sun casts a warm, golden hue over the calm waters, with silhouettes of ships and boats anchored in the distance. The sky is a blend of soft Warm oranges, browns, and reds, with the sun's reflection shimmering on the water's surface. The brush strokes are loose and expressive, capturing the essence of Impressionism and evoking the mood and atmosphere of a tranquil morning.  	Oil painting influenced by Monet's impressionist style, showcasing a sunrise over a harbor. The calm waters radiate with the sun's warm, golden light, creating shimmering reflections. Anchored ships and boats form distant silhouettes against the luminous backdrop. The sky transitions gracefully through warm hues of oranges, browns, and reds. The artwork is characterized by its loose, expressive brush strokes, embodying the serenity of a peaceful morning.	wide			
color_3_0	Artwork inspired by Monet's style, depicting a sunrise over a harbor. The sun casts a warm, golden hue over the calm waters, with silhouettes of ships and boats anchored in the distance. The sky is a blend of soft cool blues, white, and greys, with the sun's reflection shimmering on the water's surface. The brush strokes are loose and expressive, capturing the essence of Impressionism and evoking the mood and atmosphere of a tranquil morning. 	Wide oil painting inspired by Monet's impressionist style, depicting a sunrise over a harbor. The serene waters glow with a golden hue from the sun, creating shimmering reflections. Anchored ships and boats are silhouetted in the distance. The expansive sky transitions gracefully through cool blues, white, and greys. The artwork is characterized by its loose, expressive brush strokes, conveying the essence and tranquil mood of a peaceful morning.	wide			
color_4_0	Artwork inspired by Monet's style, depicting a sunrise over a harbor. The sun casts a warm, golden hue over the calm waters, with silhouettes of ships and boats anchored in the distance. The sky is a blend of soft pinks, purples, and peaches, with the sun's reflection shimmering on the water's surface. The brush strokes are loose and expressive, capturing the essence of Impressionism and evoking the mood and atmosphere of a tranquil morning.  	Oil painting influenced by Monet's impressionist style, showcasing a sunrise over a harbor. The calm waters radiate with the sun's warm, golden light, and distant ships and boats form silhouettes against this luminous backdrop. The sky transitions gracefully through soft hues of pinks, purples, and peaches. The sun's shimmering reflection on the water enhances the depth of the scene. The artwork is characterized by its loose, expressive brush strokes, embodying the serenity of a peaceful morning.	wide			
color_5_0	Artwork inspired by Monet's style, depicting a sunrise over a harbor. The sun casts a warm, golden hue over the calm waters, with silhouettes of ships and boats anchored in the distance. The sky is a blend of soft variations of a single green color, with the sun's reflection shimmering on the water's surface. The brush strokes are loose and expressive, capturing the essence of Impressionism and evoking the mood and atmosphere of a tranquil morning. 	Oil painting channeling Monet's impressionist technique, presenting a sunrise over a harbor. The serene waters radiate with the sun's golden light, and distant silhouettes of ships and boats are evident. The expansive sky is artfully painted with variations of a single green shade. The sun's shimmering reflection on the water adds depth and vibrancy to the scene. The artwork is marked by its loose, expressive brush strokes, conveying the tranquility of a peaceful morning.	wide			
attribute_0_0	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, blue jeans, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic, do not change this prompt	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, blue jeans, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic.	wide			
attribute_1_0	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a black jacket, blue jeans, hiking shoes, and sports a distinguishing black hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with green wavy patterns, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic.	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a black jacket, blue jeans, hiking shoes, and sports a distinguishing black hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with green wavy patterns, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic.	wide			
attribute_2_0	Wide image of a gentleman and a lady standing next to a silver SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, white jeans, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic. do not change this prompt.	Wide image of a gentleman and a lady standing next to a silver SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, white jeans, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic.	wide			
attribute_3_0	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, blue jeans, black dressing shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, and high heel black leather over knee boots. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic. do not change this prompt	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, blue jeans, black dressing shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, and high heel black leather over knee boots. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic.	wide			
attribute_4_0	Wide image of a gentleman and a lady standing next to a blue SUV, both looking at the camera with smiles. The gentleman is clad in a grey jacket, blue jeans, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with blue wavy patterns, golden belt, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic. do not change this prompt	Wide image of a gentleman and a lady standing next to a blue SUV, both looking at the camera with smiles. The gentleman is clad in a grey jacket, blue jeans, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with blue wavy patterns, golden belt, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic.	wide			
attribute_5_0	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, blue jeans short pants, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, a long green coat, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic. do not change this prompt	Wide image of a gentleman and a lady standing next to a red SUV, both looking at the camera with smiles. The gentleman is clad in a blue jacket, blue jeans short pants, hiking shoes, and sports a distinguishing yellow hat. Next to him, the lady with long, wavy fiery red hair, she is wearing black sunglasses, a white skirt with pink wavy patterns, a long green coat, and high heel black leather shoes. The outdoor setting, combined with their attire and the SUV, evokes the feeling of an impending adventurous journey. highly detailed, esthetic.	wide			
sketch_0_0	Life drawing sketch of a cat 	Sketch in a square composition of a cat captured in life drawing style. The artwork emphasizes the feline's anatomy and form using swift, confident strokes, capturing the essence of a live model study session.	square			
sketch_1_0	Continuous line sketch of a cat 	Sketch in a square composition of a cat depicted using a continuous line technique. The artwork captures the feline's form and features with a single, unbroken line, weaving in and out to create a cohesive and fluid representation.	square			
sketch_2_0	Loose gestural sketch of a cat 	Sketch in a square composition of a cat captured in a loose gestural style. The artwork emphasizes quick, fluid strokes that capture the feline's energy and movement, creating an impressionistic and spontaneous representation.	square			
sketch_3_0	Value study sketch of a cat 	Sketch in a square composition of a cat depicted in a value study style. The artwork focuses on capturing the different shades of light and dark on the feline's form, emphasizing the depth, volume, and three-dimensionality of the subject.	square			
sketch_4_0	Blind contour sketch of a cat 	Sketch in a square composition of a cat depicted using a blind contour technique. The artwork is drawn without looking at the paper, resulting in a unique and abstract representation of the feline, capturing its essence in a spontaneous manner.	square			
sketch_5_0	Charcoal sketch of a cat 	Sketch in a square composition of a cat depicted using a charcoal medium. The artwork captures the feline's features with rich, velvety strokes, blending and smudging to create depth and shadow, evoking the texture and tonality of charcoal art.	square			
sketch_6_0	Stippling sketch of a cat  	Stippling sketch of a cat with its fur, eyes, and features meticulously crafted using thousands of tiny dots. The density of the dots varies, creating depth and shading throughout the artwork.	square			
sketch_7_0	Geometric art sketch of a cat 	Geometric art sketch of a cat in a 1:1 ratio, where the feline is crafted from a series of interconnected triangles.	square			
sketch_8_0	Brush and ink sketch of a cat 	Illustration in a 1:1 ratio of a cat crafted in the style of a brush and ink sketch. The artwork captures the feline using bold brush strokes, ink washes, and a design that emphasizes the dynamic interplay of light and shadow.	square			
material_0_0	Block print style cat 	Photo of a feline figure depicted in the traditional block print style, set against a neutral background. The cat's posture exudes elegance, with intricate patterns and strong outlines defining its form. The square composition enhances the focus on the feline's features.	square			
material_1_0	Folk art style cat  	Photo of a feline figure captured in a folk art style, set against a rustic background. The cat displays vibrant colors and whimsical patterns, embodying the charm and simplicity of traditional folk art in a square format.	square			
material_2_0	Cyanotype style cat 	Photo in a square composition of a cat captured in cyanotype style. The deep blue tones and high contrast showcase the feline's silhouette and intricate details, reminiscent of the early photographic cyanotype process.	square			
material_3_0	Graffiti style cat 	Photo in a square composition of a graffiti-styled cat on a brick wall. Vibrant colors, bold strokes, and urban aesthetics come together to depict the feline in a dynamic and street art manner.	square			
material_4_0	Risograph style cat 	Photo in a square composition of a cat captured in risograph style. The image showcases overlaying colors, grainy textures, and a slightly off-register print effect, evoking the unique aesthetics of risograph printing.	square			
material_5_0	Ukiyo-e style cat 	Illustration in a 1:1 ratio of a cat rendered in the Ukiyo-e art style. The design showcases the cat lounging beneath a cherry blossom tree, with detailed patterns, soft gradients, and the characteristic elegance of Ukiyo-e artworks.	square			
material_6_0	Paint-by-Numbers style cat	Photo in a square composition of a cat depicted in a paint-by-numbers style. The feline is segmented into numbered sections, each representing a different color, awaiting to be filled in by the artist.	square			
material_7_0	Pencil sketch style cat 	Photo in a square composition of a cat captured in pencil sketch style. The image highlights the intricate details of the feline's fur, whiskers, and eyes, with the soft shading and detailed linework reminiscent of a hand-drawn sketch.	square			
material_8_0	Watercolor style cat 	Watercolor painting in a square format of a cat, exuding a dreamy and soft ambiance. The feline's fur is painted with gentle brush strokes, blending various hues to capture its texture, and the background is a wash of muted colors that complements the cat's portrait.	square			
material_9_0	Wood carving style cat 	3D render in a square composition of a cat inspired by wood carving artistry. The feline showcases intricate carved details, grain textures, and a natural wooden color palette, capturing the essence of traditional woodwork.	square			
material_10_0	Pixel art style cat 	Pixel art illustration in a square composition of a cat. The feline is designed using a grid of colored squares, each representing a pixel. The artwork captures the cat's distinct features, with a retro and digital aesthetic reminiscent of classic video games.	square			
material_11_0	Blacklight painting style cat 	Photo in a square composition of a cat depicted in blacklight painting style. Under ultraviolet light, the cat's features are illuminated with vibrant neon colors, making it stand out against a dark background, capturing the ethereal glow of blacklight art.	square			
material_12_0	Acrylic style cat	Acrylic painting in a square composition of a cat, showcasing bold brush strokes and vibrant colors. The feline's fur texture and expression are captured with the characteristic sheen and depth of acrylic paints.	square			
material_13_0	Lego style cat 	Photo in a square composition of a cat constructed using LEGO bricks. The feline's form is recreated using a variety of colored blocks, showcasing the distinct features and posture of the cat in a blocky, LEGO-inspired design.	square			
material_14_0	Mix media style cat 	Mixed media artwork in a square composition of a cat, blending various materials and techniques. The feline's portrait incorporates elements like collage, paint, and textured paper, creating a layered and multidimensional look.	square			
material_15_0	Glassblowing style cat  	3D render in a square composition of a cat inspired by glassblowing artistry. The feline is depicted with translucent surfaces, intricate curves, and vibrant colors, showcasing the beauty and craftsmanship of glass art.	square			
material_16_0	Calligraphy style cat 	Illustration in a square composition of a cat inspired by calligraphy artistry. The feline is portrayed using flowing calligraphic strokes, intricate swirls, and a harmonious balance of thick and thin lines, capturing the elegance of calligraphy.	square			
material_17_0	Vector style cat 	Vector illustration in a square composition of a cat with crisp lines, flat colors, and a minimalist design. The feline showcases geometric shapes, smooth curves, and a style that emphasizes the clarity and precision of vector graphics.	square			
3D_0_0	a 3D cylinder and a 3D cone sitting on a grey table, square 	3D render of a scene set on a square grey table. Positioned on the table are two geometric forms: a cylinder and a cone. The cylinder stands vertically, its circular base resting on the table surface. Beside it, the cone is placed with its wider base on the table and its tapered end pointing upwards. Both figures are cast in a soft light, producing faint shadows on the table. The background is kept neutral to keep the focus on the geometric shapes.	square			
3D_1_0	A sphere, a cube, and a light bulb on a table. The sphere and cube are close to each other. The light bulb is shining bright. 	3D render of a scene set on a table. Positioned on the table are three distinct objects: a smooth sphere, a perfectly shaped cube, and a glowing light bulb. The sphere and cube are placed close to each other, with the cube's sharp edges contrasting the sphere's curved surface. A little distance away, the light bulb stands upright, emitting a bright luminance that illuminates the scene and casts defined shadows of the sphere and cube on the table. The background is kept neutral to emphasize the objects and the light's effect on them.	square			
3D_2_0	A cone sits on top of a cube next to a window with daylight shining in. 	3D render showcasing a tranquil indoor setting. Against a wall stands a large window, allowing a cascade of soft daylight to enter the room. This gentle illumination highlights a scene on a table beside the window: a perfect cube with a cone precisely positioned on its top. The cone's pointed tip contrasts with the cube's sharp edges, and the sunlight casts subtle shadows, emphasizing the geometric interplay. The background is minimalistic, ensuring the focus remains on the cone, cube, and the interplay of natural light.	square			
3D_3_0	A cuboid whose surface material is shiny metal. A flower and a mug are nearby with their reflections on the cuboid. 	3D render set in a minimalist environment. Dominating the scene is a shiny metallic cuboid, reflecting the surroundings with high clarity. Positioned adjacent to the cuboid is a delicate flower with its petals and stem clearly mirrored on the cuboid's surface. Beside the flower, there's a mug, its curvature and handle also producing a vivid reflection on the metal. The interplay of the objects and their reflections creates a harmonious and intriguing composition.	square			
3D_4_0	a room with two light bulbs on the ceiling. The first light bulb is shining red lights. The second light bulb is shining green lights. 	3D render of a spacious room with a high ceiling. Two distinct light bulbs hang from the ceiling, each casting its unique glow. The first light bulb emits a deep red hue, bathing a section of the room in its warm luminescence. Adjacently, the second light bulb shines with a vibrant green light, creating a stark contrast with the red. The interplay of these two colored lights produces a mesmerizing ambiance, with the room's walls, floor, and any furnishings reflecting the red and green tones.	square			
3D_5_0	a cylinder whose surface material is shiny. A cute toy dog in wireframe is looking at the cylinder and sees its reflection on the cylinder. 	3D render set against a neutral backdrop. Central to the scene is a cylinder, its surface polished to a high sheen, capturing every detail of its surroundings. A few steps away from the cylinder is a toy dog, crafted in a wireframe design. Despite its geometric structure, the toy dog exudes a sense of cuteness with its pose and proportions. The dog appears curiously fixated on the cylinder, and its wireframe silhouette is clearly reflected on the shiny surface of the cylinder, creating a harmonious blend of geometry and reflection.	square			
3D_6_0	a front view of a toy elephant with clay material, rendered in 3D style. 	3D render depicting a toy elephant, viewed from the front. The elephant is crafted with a clay-like material, giving it a textured and organic appearance. Its features, including large floppy ears, a curved trunk, and expressive eyes, are meticulously detailed. The toy elephant stands on a neutral surface, and the soft lighting in the scene accentuates the nuances of its clay texture, creating a sense of depth and realism.	square			
3D_7_0	3D render depicting a toy elephant, side view. The elephant is crafted with a clay-like material, giving it a textured and organic appearance. Its features, including large floppy ears, a curved trunk, and expressive eyes, are meticulously detailed. The toy elephant stands on a neutral surface, and the soft lighting in the scene accentuates the nuances of its clay texture, creating a sense of depth and realism. 	3D render showcasing a toy elephant, viewed from the side. The elephant is meticulously crafted with a clay-like material, lending it a rich, textured, and organic feel. Its defining features, like the large floppy ears, the gracefully curved trunk, and its soulful eyes, are exquisitely detailed. Positioned on a neutral surface, the toy elephant is bathed in soft, ambient lighting that highlights the intricacies of its clay texture, creating a visually compelling depth and realism.	square			
3D_8_0	3D render depicting a toy elephant, back view. The elephant is crafted with a clay-like material, giving it a textured and organic appearance. Its features, including large floppy ears, a curved trunk, and expressive eyes, are meticulously detailed. The toy elephant stands on a neutral surface, and the soft lighting in the scene accentuates the nuances of its clay texture, creating a sense of depth and realism. 	3D render presenting a toy elephant, viewed from the back. The elephant, sculpted from a clay-like material, exudes a rich texture and organic look. While its back and tail are the main focus from this angle, glimpses of its other features, such as its large floppy ears and the curve of its trunk, can still be seen. Its soulful eyes, although not directly visible from this angle, add to the overall expressiveness of the piece. Positioned on a neutral ground, the toy elephant benefits from soft ambient lighting, which highlights the subtleties of its clay composition, offering a sense of depth and genuine craftsmanship.	square			
camera_0_0	Street style, a woman, extreme close-up shot of the eyelash, photography, natural lighting 	Drawing inspiration from urban aesthetics, this street style photograph offers an extreme close-up view of a woman's eyelash. The detailed shot showcases the intricate lengths and textures of the lashes, each individual strand highlighted by the soft glow of natural lighting. Minute reflections on the eyelash might hint at the city's vibrant life or the sky overhead. The background, though blurred due to the close focus, adds depth to the composition, ensuring the eyelash remains the focal point. This image is a celebration of the beauty in minute details, contrasting the expansive nature of city life with the delicate intricacy of a single human feature.	wide			
